task_id,variant_id,status,batch,source_task_sha256,candidate_task_sha256
203,V0877,DRAFT_REWRITTEN,batch02,2df958511af80b6fba58af4424823630dd0c3c8a3958e83e6fec1078ad689cab,3741033ae18489950bbbbaa10dedd74f8ee3b6b0009793dcf4ee9ed308915d1d
204,V0926,DRAFT_REWRITTEN,batch02,630266cc0b173e173299a229a629ad228596a5e60f0d511b10d8bbc164e44c26,c10213814f8ec51f67433baddb8e8572e3715a2d5162c6392f5b229e352d6327
205,V0519,DRAFT_REWRITTEN,batch02,3cefb6c10e977b22771f1adac325fcf34bbd4b80f3a7cb55f2902b30e521c125,cb6fe695e65b9261bf98650cb6dfb56bf10d0e95afcaa4c78deddf4bd44d4556
206,V0278,DRAFT_REWRITTEN,batch02,2fca8bf2ad714c497ef58d92a8479c61931dcc455507dec18c7f7f46b1d90c60,21071b55df234db05c778fd21fde8ae8fe7ff68ff9323f0600a79f748668dee1
207,V0756,DRAFT_REWRITTEN,batch02,398c968d46a6326c547cb00085afc657528fd99becfcfc2cf6e5b7e96db5b010,8c8d227336efaaa1a115d7fe3d7ebaf2a2d27f9493acd9e55e442d4ec42bc41d
209,V0982,DRAFT_REWRITTEN,batch02,5c4303b3df34795d81f909d7dd8287272d14f54280fb67ccd6a9bc7ae170bb8f,0312b2c42f5ecf21c0efd820fcec45abb221297c00dba74f77563c694555bb59
210,V0809,DRAFT_REWRITTEN,batch02,9286a4ae87ead546841e37cfa0a48a438448de7391a93170116ebc3bce139656,82b089c335b0ac539fc34b23954580adf605035f2182b8c556c2bfbe569181f3
211,V0329,DRAFT_REWRITTEN,batch03,c74865c36dee7111e972b984b41dd823775a24d4c91142a38b8931517f405afd,9db94470cbedb091557be77db12a3261cff734cacdd3a8f3e8afbfd0fe28195d
216,V0348,DRAFT_REWRITTEN,batch03,5be4c96a583531331446ecd72b09eb2c6cc837cd41c7a2824c03e57b06004eb4,55852ed6eba5bc3a607bd4ca4ddb2ef8701321f91665a9384362a25931986590
218,V0796,DRAFT_REWRITTEN,batch03,f73eff21a664735da752ed8f47ee33b56a87c85597ff553c3ba480aaba83b1aa,bd2b5fb934652f6c29e66bc9003a19c3c80200c1d79e380fd681f4e178ab05a8
222,V0521,DRAFT_REWRITTEN,batch03,55761758f598802a992dbe610eff2b3a35e596b430a7975123c620037816634a,7da3b2c18ea8665b01488360f5cdaba368dd37d4c42f683ccb2be25f75c08011
224,V0642,DRAFT_REWRITTEN,batch03,8c7eae24b8d1db3b73e9a83d2e818431a08f51bd3d2a7f4ca085f065bab7d112,79e5364f577e48b25cf8679e5bd9b18b8a4187d98ec053a4235cd8d4a9d92fd7
227,V0807,DRAFT_REWRITTEN,batch03,a944873070962ad5650f48e2a4c035f41e5d9dc93ee6d57cd30819d3c8471196,8e8a9d772dd0ed3ce89c7f4a31fbb820175f232e5c1a55d5e8160b45800f72a7
229,V0257,DRAFT_REWRITTEN,batch03,7136d5aadd799f7e4bc6692d3522276846b29f0dc86ea55bcd2861c9b1f8e1da,b4a84adcfe44e616b99a479599ef8559adff9ff767a972b148d383bb9942a073
230,V0485,DRAFT_REWRITTEN,batch03,653fbcb1385690eef9f553b241d4855360aeb35b933e691c52b3b24506712328,e64876f798e06c1c0bfc4faf2ac96077f674b37534531e61b4d629f1e2ded6ae
231,V0924,DRAFT_REWRITTEN,batch03,857002f66bec65a2baad2735fbf249228e810b29523324c8f104e69c95f8e461,e0f0132102450c0453c56b1de3d493161e7cf4e78f3ccb8fb5c6e501a3dcc217
232,V0732,DRAFT_REWRITTEN,batch03,229ba2cff0ad3c6823f64e801c156b5d0820ca3870e5703c26057797d32a76d8,319222692ed48328749756bc223d1f5a2b1d2f3740f1c51a48e09bdf5cff49de
233,V0414,DRAFT_REWRITTEN,batch03,85388eff5413f3d14994465b6175e9d10bac07799627aaf253b3a56322f85c5f,9a87f11a8b1a7a8873fd8891a7ee0cebd993d33be815cc08b700609a1b443adb
234,V0544,DRAFT_REWRITTEN,batch03,9ff3f948346ed4940a405d12452fa3b57f663cc693cf2c540463f59ccb20a7f9,70d0ba351f0e85a0d0422edb2ebf6dd5c0026a2801d45986180caf292f3483b3
236,V0716,DRAFT_REWRITTEN,batch03,fd8373d3e5513df4af59724f5016ba1e48b1a7cfe963978943b1eb7c9959c067,b7d14880eeca6c8e1318c27afbe417e5c95e5be2bbccee1c85614b948c6a1d08
238,V0664,DRAFT_REWRITTEN,batch03,d8b5d227fa85fe1d0901affe43c4515126bd321e2367febcb340891c36200eeb,3b9db82508207091c0d4f0fcd9448a5086670fff1b47eb6c7f8c3cfdb250a7c3
242,V0288,DRAFT_REWRITTEN,batch03,f3a0c100f2c9237e10861af349d5a9a47d23de153c9160990d0c332b5f338ad3,cc2926716011d572c690fc24ca4e0cbb68b41925568b8c011013b23b9d0924f1
246,V0992,DRAFT_REWRITTEN,batch03,4a1cb0b215f48d7096682074e2f30b95c25db82f8cbeeb84c64850a92b40b662,c5faf015e5a56c4b88a9b837042595cf1b992810a7b46a958c24ef944c3b5f25
248,V0194,DRAFT_REWRITTEN,batch03,ca0746e6b30ce0a57543612320549d9433f7fa045905d39402cc303305380e43,ebebeb09c1282ebb33ee4d70e438b0bcb828509342b937596e462c038cba19b2
249,V0259,DRAFT_REWRITTEN,batch03,b86dae6605c2549e232a335233d307bd273a4542ac19bcf0456c206ab10d4acc,d99b3430b1f058ab55af41776fa745d09658a6c96e957483dfab383949c3ddf9
250,V0281,DRAFT_REWRITTEN,batch03,8cebc1c190715027d1f4c5fcbc2eef87d650139bb8e002de7042ce58cebe1452,730bea8d57630e03b56169dbd50903afbaf370b7537b0427cb5c7390f733288a
252,V0914,DRAFT_REWRITTEN,batch03,77731242c602b219b61af7bc9fbda8db22e89e54746159fd66afe6f13c651178,7eb2bc3618c0ed3759de4c0d6dcd060939c33cd406d4a4fcea52d2e758cd3abb
253,V0723,DRAFT_REWRITTEN,batch03,3a3964a7106e512ba895a021225a35f5088e9937fc27e4d5f3b886bee2af76a1,74c949d626b4ba8abfc468e963a161ce7189c7cd866aae19d8c35d6a0f0d4075
256,V0989,DRAFT_REWRITTEN,batch03,a7ee2521b7b4510bf7583ccf6a6d3a51d7c49d285b42955ca75f6ee366d86355,b4d5bba335dd04b655a1bbc04620a4b920db45f43b64f52fa9b857185776dbc9
258,V0286,DRAFT_REWRITTEN,batch03,8de952b7c88e2858bf318841429e4a2796bd106cf435d120c9fe2dc9e06b1afc,438f1c98ef6fe7e11eea74892cedbff65ecafb55617dd1b1efa7d44a6a62ede1
259,V0490,DRAFT_REWRITTEN,batch03,a2eb1de5a5b4122f58b2b937d638625ae3c81bd66406e77c49c406d6fab2ae23,6122f14a495d025f191f07ec648edff491741f13bde0f947635b920b1a0da86d
260,V0450,DRAFT_REWRITTEN,batch03,2f95e6fac1cbdfb504e28c976c9161f6f7898992643bec81fc3eb1b03888dabc,c0f17affae9c954ec2e8560ec3fafef0fedf11202764bc9710cfd9035d327980
263,V0839,DRAFT_REWRITTEN,batch03,d74af2dffd643d2261762992462dd45876ed6d304df0acb60660e36f97aa8d6d,1f6641cecd6effc960649447fba1e8f932d05ead9af819ed9dc278fc5c4a8337
265,V0347,DRAFT_REWRITTEN,batch03,c7ae62a019883ac59f09fe29fe96972a5588160cb89cee9bf551008ed9559d94,f2b3f02a80b53f8cd863a9fa94fd04d6aed2a62d97c0cdecabb34d83788f6d1b
